spell,imi,pertid,count
"ability","能力、才能","1","2"
"above","～の上の方、～より上流に、～より上で、～よりむしろ、～を超えている","3","2"
"above","上記の","4","2"
"absoluteness","絶対、絶待","1","1"
"abstract","抽象的な、空想的な、難解な","4","1"
"abstraction","抽象概念、放心、抽象主義、除去","1","2"
"accept","受け取る、受け付ける、解釈する","2","3"
"accidentally","偶然に、誤って、付随的に","8","2"
"accomplish","成し遂げる、完遂する、堪能にする","2","2"
"account","勘定、請求書、報告、話、考慮、評価、根拠、重要性","1","1"
"accustom","慣れる、順応する","2","1"
"act","行動する、ふるまう、演じる、動く、効く","2","1"
"actual","実際の、最重要な","4","1"
"actually","現実に、実際に、本当のところは、実は","8","1"
"additive","付加的な、加法の","4","2"
"additivity","加算性、相加性","1","1"
"admit","認める、収容する、説明の余地がある","2","1"
"advisable","賢明な、分別のある、勧められる","4","1"
"aesthetics","美学","1","1"
"affect","影響する、作用する、襲う、感動させる、ふりをする、装う、好んで用いる、好んで生息する、とる","2","2"
"all","全部の、全体の、すべての、あらゆる、～に満ちた、すべてが","4","1"
"alleviate","軽減する、緩和する、楽にする","2","1"
"allocate","とっておく、割り当てる、配分する、配置する","2","1"
"alter","変える、作り変える、去勢する、改まる","2","1"
"alternation","交互、1つおき","1","1"
"although","けれども、～にもかかわらず、しかし","6","2"
"among","～の間に、～に含まれて、の中の1つで","3","1"
"anatomy","解剖学、組織、構造、解剖、人体","1","1"
"anisotropic","異方性の","4","1"
"anonymous","匿名の、特徴のない","4","1"
"any","何か、どれも、だれでも、どれでも、ただの","4","4"
"anything","何か、何も、何でも、たいしたこと","5","2"
"appear","～のように見える、～らしい、～であるようだ、現れる、出現する、載る、姿を現す、出演する、出頭する","2","1"
"applicable","適用できる、使用できる","4","1"
"approach","接近、方法、取り組み、通路、進入、近いこと","1","2"
"approach","近づく、話を持ちかける、話を聞く、買収しようとする、達する、匹敵する、取り組む、対応する、近似する","2","3"
"arbitarily","任意に、勝手に","8","1"
"arbitary","任意の、気ままな、専制的な","4","2"
"arbitrariness","任意性、恣意性","1","1"
"arise","起こる、そびえたつ、見えてくる、身を起こす","2","1"
"arithmetic","算数、計算","1","1"
"arrange","取り決める、手はずを整える、きちんと並べる、編曲する","2","1"
"ascend","登る、上がる、高くなる","2","1"
"assert","断言する、主張する、でしゃばる","2","1"
"assign","割り当てる、任命する、指定する、帰する、譲渡する、委託する","2","2"
"associate","連想する、仲間に加える、交際する","2","2"
"assume","想定する、本当だと思う、～であるとみなす、引き受ける、身につける、装う、横領する、前提とする","2","4"
"assumption","当然のことと考えること、想定、小前提、就任、装うこと、聖母被昇天","1","2"
"asynchronous","非同期","1","1"
"attempt","試みる、企てる","2","1"
"authentication","証明、認証","1","1"
"automatically","自動的に、機械的に","8","2"
"availability","可能性、有効性","1","1"
"aware","気が付いている、意識した、事情に通じた","4","2"
"axis","軸、軸国","1","1"
"basis","基礎、基本原理","1","2"
"because","～なので、というのは、～ということ、～だからといって","6","1"
"befriend","友として力を貸す","2","2"
"behind","～のうしろに","3","1"
"body","からだ、死体、団体、大量のかたまり、本体、天体、物体、濃度、広い地域","1","1"
"borrow","借りる、取り入れる","2","1"
"bound","きっと~する運命にある、~するに違いない、~する義務がある、縛られた、結合した、跳び上がる、はずむ、急上昇する","2","3"
"brevity","簡潔さ、短さ","1","1"
"briefly","簡潔に、しばらく","8","1"
"broad","広い、広々とした、幅が～ある、一般的な、満ち満ちた、明白な、無遠慮な、簡略表現の","4","1"
"broadly","大雑把に、概して、広範囲に、露骨に","8","2"
